Entry_no,SubStructure,ESI_adduct,SubStructure_type,Abbrev_name,name,IUPAC,SMILES,formula,monoisotopic_mass,Neut.loss,frag,pos,neg,mass.shift,ref
9,1,0,glucuronide,[AnhyGLN_175],[AnhydroGlucuronide DHOOXC],"(2S,3S,4S)?3,4?dihydroxy?5?oxooxane?2?carboxylate",O[C@H]1[C@H](O)C(=O)CO[C@@H]1C([O-])=O,C6H7O6,175.0248115,0,1,0,1,176.03209,"Levsen, K. et. al. Structure elucidation of phase II metabolites by tandem mass spectrometry: an overview, Journal of Chromatography A, Volume 1067, Issues 12, 4 March 2005, Pages 55-72, ISSN 0021-9673, http://dx.doi.org/10.1016/j.chroma.2004.08.165."
10,1,0,glucuronide,[AnhyGLN_113],[AnhydroGlucuronide ODHPO],"5-oxo-5,6-dihydro-2H-pyran-3-olate",[O-]C1=CC(=O)COC1,C5H5O3,113.0244176,0,1,1,1,176.03209,"Levsen, K. et. al. Structure elucidation of phase II metabolites by tandem mass spectrometry: an overview, Journal of Chromatography A, Volume 1067, Issues 12, 4 March 2005, Pages 55-72, ISSN 0021-9673, http://dx.doi.org/10.1016/j.chroma.2004.08.165."
11,1,0,glucuronide,[AnhyGLN_176],[AnhydroGlucuronide],"(2S,3S,4S)-3,4,5-trihydroxy-3,4-dihydro-2H-pyran-2-carboxylic acid",O[C@H]1[C@H](O)C(O)=CO[C@@H]1C(O)=O,C6H8O6,176.032088,1,0,1,1,176.03209,"Levsen, K. et. al. Structure elucidation of phase II metabolites by tandem mass spectrometry: an overview, Journal of Chromatography A, Volume 1067, Issues 12, 4 March 2005, Pages 55-72, ISSN 0021-9673, http://dx.doi.org/10.1016/j.chroma.2004.08.165."
25,1,0,glucuronide,[GLN_194],[Glucuronide],"(2S,3S,4S,5R,6R)?3,4,5,6?tetrahydroxyoxane?2?carboxylic acid",O[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O,C6H10O7,194.0426527,0,0,0,0,176.03209,"Levsen, K. et. al. Structure elucidation of phase II metabolites by tandem mass spectrometry: an overview, Journal of Chromatography A, Volume 1067, Issues 12, 4 March 2005, Pages 55-72, ISSN 0021-9673, http://dx.doi.org/10.1016/j.chroma.2004.08.165."
80,1,0,glucuronide,[AnhyGLN + Na],[AnhydroGlucuronide + Na],,,C6H8O6Na,198.014035,1,0,1,1,198.014035,Even-electron ions: a systematic study of the neutral species lost in the dissociation of quasi-molecular ions
109,1,0,glucuronide,[GLN + Na],[Glucuronide + Na],,,,215.994605,1,0,1,1,215.994605,Even-electron ions: a systematic study of the neutral species lost in the dissociation of quasi-molecular ions
114,1,0,glucuronide,[GLN_192],[GLN_192],,,,192.027,1,0,1,1,0.0,Even-electron ions: a systematic study of the neutral species lost in the dissociation of quasi-molecular ions
251,1,0,glucuronide,[Glucuronic-acid],[Glucuronic-acid],,,C6H10O7,194.042651,1,0,1,0,0.0,"Yan, M et. al. MS2Analyzer  A Software for Small Molecule Substructure Annotations from Accurate Tandem Mass Spectra"
4,1,0,glucuronide sulfate,[AnhyGLN + SO2],[AnhydroGlucuronide + SO2],"(2S,3S,4S)-3,4,5-trihydroxy-3,4-dihydro-2H-pyran-2-carboxylic acid; (oxo-??-sulfanylidene)oxidane",O=S=O.O[C@H]1[C@H](O)C(O)=CO[C@@H]1C(O)=O,C6H8O6.O2S,239.9939884,1,0,1,1,255.988909,"Levsen, K. et. al. Structure elucidation of phase II metabolites by tandem mass spectrometry: an overview, Journal of Chromatography A, Volume 1067, Issues 12, 4 March 2005, Pages 55-72, ISSN 0021-9673, http://dx.doi.org/10.1016/j.chroma.2004.08.165."
5,1,0,glucuronide sulfate,[AnhyGLN + SO3],[AnhydroGlucuronide + SO3],"(2S,3S,4S)-3,4,5-trihydroxy-3,4-dihydro-2H-pyran-2-carboxylic acid; sulfonylideneoxidane",O=S(=O)=O.O[C@H]1[C@H](O)C(O)=CO[C@@H]1C(O)=O,C6H8O6.O3S,255.988903,1,0,1,1,255.988909,"Levsen, K. et. al. Structure elucidation of phase II metabolites by tandem mass spectrometry: an overview, Journal of Chromatography A, Volume 1067, Issues 12, 4 March 2005, Pages 55-72, ISSN 0021-9673, http://dx.doi.org/10.1016/j.chroma.2004.08.165."
